Unnamed: 0,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_url,incident_dateonly_extinguished,incident_dateonly_created,geometry,index,Air max,Bulb wet,County,Date,ETo,Evap,Precip,RH max,Soil max,Solar,Wind dir,Wx,dry,Air min,Soil min,RH min,obs,speed,type
0,Shasta,37,-122.309,40.774,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,2018-01-09,2017-10-31,POINT (-122.309 40.774),1764,70.0,,Shasta,2017-10-31,0.08,0.05,0.042,83.5,57.0,319.5,0.0,,,37.0,55.5,24.0,,0.0,
2,Inyo,406,-118.01651,36.602575,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,2013-02-28,2013-02-24,POINT (-118.01651 36.602575),54,56.8,,Inyo,2013-02-24,0.12,,0.024,45.66666666666666,43.0,425.0,,,,29.0,40.66666666666666,13.833333333333336,,11.0,
3,San Bernardino,30,-116.941311,34.288877,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/,2013-04-22,2013-04-20,POINT (-116.941311 34.288877),109,80.25,,San Bernardino,2013-04-20,0.23,,0.00875,50.75,57.75,646.0,0.0,,,46.625,52.25,13.5,,0.0,
4,Madera,274,-119.635004,37.116295,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/,2013-05-01,2013-04-30,POINT (-119.635004 37.116295),119,82.0,,Madera,2013-04-30,,,0.0,,,,,,,58.0,,,,,
5,Tehama,6965,-121.595555,40.190062,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,2013-05-09,2013-05-01,POINT (-121.595555 40.190062),120,71.5,,Tehama,2013-05-01,,,0.115,,,,,,,44.5,,,,,
6,Napa,75,-122.350844,38.441792,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/,2013-05-01,2013-04-30,POINT (-122.350844 38.441792),119,83.0,,Napa,2013-04-30,0.26,,0.005,,66.0,648.5,0.0,,,47.5,62.5,,,0.0,
7,Sonoma,125,-122.655616,38.638828,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/,2013-05-03,2013-05-01,POINT (-122.655616 38.638828),120,85.0,,Sonoma,2013-05-01,0.2466666666666667,,0.02875,77.66666666666667,64.75,655.75,0.0,,,45.375,61.5,10.333333333333334,,0.0,
8,Riverside,3166,-116.941311,34.288877,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,2013-05-04,2013-05-01,POINT (-116.941311 34.288877),120,90.53846153846152,,Riverside,2013-05-01,0.2644444444444445,,0.0018181818181818184,73.1111111111111,71.33333333333333,636.1111111111112,0.0,,,58.92307692307693,67.8888888888889,12.0,,0.0,
9,San Benito,354,-120.937494,37.160346,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/,2013-05-03,2013-05-03,POINT (-120.937494 37.160346),122,90.33333333333331,,San Benito,2013-05-03,0.24,,0.0,71.0,67.0,647.0,0.0,,,47.66666666666666,64.0,15.0,,0.0,
10,Glenn,217,-122.560862,39.514139,https://www.fire.ca.gov/incidents/2013/5/1/306-fire/,2013-05-05,2013-05-01,POINT (-122.560862 39.514139),120,80.66666666666667,,Glenn,2013-05-01,,,0.016666666666666666,,,,,,,50.33333333333334,,,,,
11,San Bernardino,75,-117.4408,34.1834,https://www.fire.ca.gov/incidents/2013/5/13/lytle-fire/,2013-05-15,2013-05-13,POINT (-117.4408 34.1834),132,90.375,,San Bernardino,2013-05-13,0.27,,0.00625,53.75,67.0,660.75,0.0,,,57.125,61.5,15.0,,0.0,
12,Riverside,510,-116.855019,33.894055,https://www.fire.ca.gov/incidents/2013/5/4/gorgonio-fire/,2013-05-05,2013-05-04,POINT (-116.855019 33.894055),123,88.61538461538461,,Riverside,2013-05-04,0.27555555555555555,,0.0,60.875,70.22222222222223,650.5555555555555,0.0,,,54.46153846153846,66.66666666666667,14.875,,0.0,
13,Ventura,4346,-118.9411,34.7861,https://www.fire.ca.gov/incidents/2013/5/15/grand-fire/,2013-05-21,2013-05-15,POINT (-118.9411 34.7861),134,70.0,,Ventura,2013-05-15,0.185,,0.0,97.0,73.5,620.5,0.0,,,49.0,66.0,66.0,,0.0,
14,Riverside,40,-116.161201,33.655638,https://www.fire.ca.gov/incidents/2013/5/16/54-fire/,2013-05-17,2013-05-16,POINT (-116.161201 33.655638),135,88.30769230769229,,Riverside,2013-05-16,0.26555555555555554,,0.0,73.0,73.66666666666667,654.8888888888888,0.0,,,60.230769230769226,70.33333333333333,26.66666666666667,,0.0,
15,Los Angeles,712,-118.610044,34.49149,https://www.fire.ca.gov/incidents/2013/5/17/lake-fire/,2013-05-18,2013-05-17,POINT (-118.610044 34.49149),136,71.71428571428571,,Los Angeles,2013-05-17,0.16714285714285712,,0.002857142857142857,83.85714285714286,70.14285714285714,484.8571428571428,0.0,,,55.57142857142857,68.14285714285714,55.57142857142857,,0.0,
16,Madera,91,-119.7917,37.1927,https://www.fire.ca.gov/incidents/2013/5/19/lilly-2-fire/,2013-05-20,2013-05-19,POINT (-119.7917 37.1927),138,84.0,,Madera,2013-05-19,,,0.0,,,,,,,59.0,,,,,
17,San Luis Obispo,35,-120.91375,35.49864,https://www.fire.ca.gov/incidents/2013/5/20/cottontail-fire/,2013-05-20,2013-05-20,POINT (-120.91375 35.49864),139,85.42857142857143,,San Luis Obispo,2013-05-20,0.2375,,0.0,87.33333333333331,66.5,672.5,0.0,,,47.28571428571429,63.25,29.66666666666667,,0.0,
18,Riverside,25,-116.90721299999998,33.96201,https://www.fire.ca.gov/incidents/2013/5/20/cherry-fire/,2013-05-20,2013-05-20,POINT (-116.907213 33.96201),139,94.0,,Riverside,2013-05-20,0.2777777777777778,,0.0,68.25,73.66666666666667,651.8888888888888,0.0,,,59.92307692307693,70.33333333333333,13.25,,0.0,
